url,label,url_length,dot_count,slash_count,subdomain_count,suspicious_keyword,special_char_count,digit_count,url_encoding_count,has_ip,is_shortened,repeated_char_count,https_present,has_at_symbol
https://att-yahoo-107213.weeblysite.com/,phishing,40,2,3,2,0,4,6,0,0,0,0,1,0
https://rightstrackerleadleverage.vercel.app/3ae&25&93cf6=5a&1eGK9d0xe13da4b=D400e,phishing,82,2,3,2,0,4,16,0,0,0,0,1,0
https://complianceviolationengagehub.vercel.app/3ae&25&93cf6=5a&1eGK9d0xe13da4b=D400e,phishing,85,2,3,2,0,4,16,0,0,0,0,1,0
https://kominfosurabayagoid.pages.dev/,phishing,38,2,3,2,0,2,0,0,0,0,0,1,0
http://redtailtechnology.pages.dev/,phishing,35,2,3,2,0,2,0,0,0,0,0,0,0
https://cdn.trytraffics.com/rdr/YWE9Mzc5ODg2MzcxJnNlaT0zMDQ4NDk2MiZ0az04MWNpNHdlVk5WZkRucFpKR2p4eCZ0PTUmYz05MGFzODc2ZmQ4OWFzNWZnOGEwOXM=,phishing,136,2,4,2,0,3,17,0,0,0,0,1,0
https://rightsabuseadcurators.vercel.app/complaint&z,phishing,52,2,3,2,0,2,0,0,0,0,0,1,0
https://womanofficialstore.com/m/register?codeNumber=/,phishing,54,1,5,1,0,3,0,0,0,0,0,1,0
https://cdn.trytraffics.com/rdr/YWE9Mzc5ODc0OTM2JnNlaT04MDc3MSZ0az1sZXJCdWsxRmF2TW1FQjU2TEZUVyZ0PTUmYz05MGFzODc2ZmQ4OWFzNWZnOGEwOXM=,phishing,132,2,4,2,0,3,17,0,0,0,0,1,0
https://whatsappmom4.pages.dev/,phishing,31,2,3,2,0,2,1,0,0,0,0,1,0
